P,1e-09,7.32304379591e-08,1.24024904286e-07,-3.63284497095e-08
P,1e-09,6.23644163614e-08,1.26880426929e-07,-2.14576435013e-08
P,1e-09,6.3344214829e-08,1.27587356117e-07,-3.9191529695e-08
P,1e-09,6.46777887428e-08,1.28221803139e-07,-3.56621222827e-08
P,1e-09,7.78598446281e-08,1.20856744675e-07,-2.72046965174e-08
P,1e-09,7.54987685046e-08,1.21072392614e-07,-3.65173591124e-08
P,1e-09,7.33232256606e-08,1.25082818589e-07,-2.59770603604e-08
P,1e-09,6.19865630155e-08,1.20967358998e-07,-2.23554513117e-08
P,1e-09,7.04437852317e-08,1.26045865346e-07,-3.66053588437e-08
P,1e-09,6.16032225311e-08,1.2673297039e-07,-3.87084768997e-08
P,1e-09,6.25553659318e-08,1.27504393051e-07,-3.6769486879e-08
P,1e-09,6.74562533867e-08,1.2465101571e-07,-2.2179420687e-08
P,1e-09,6.03775485121e-08,1.30140746652e-07,-2.59667210383e-08
P,1e-09,7.29959388569e-08,1.22675073501e-07,-3.04603610533e-08
P,1e-09,6.2704753325e-08,1.26618095477e-07,-2.37372499274e-08
R,1e-08,-1.22810008363e-07,-6.1253587209e-08,2.73480271202e-08
P,1e-09,-1.26836765736e-07,-6.96028730407e-08,2.30986048492e-08
P,1e-09,-1.21105789369e-07,-6.39316812634e-08,3.20586880048e-08
P,1e-09,-1.29094553051e-07,-6.30188719518e-08,2.33395969725e-08
P,1e-09,-1.20576305267e-07,-6.68171664328e-08,2.89415654648e-08
P,1e-09,-1.30181634476e-07,-6.43199274633e-08,2.10395715648e-08
P,1e-09,-1.24542080972e-07,-6.88310296003e-08,3.08634788289e-08
P,1e-09,-1.201892682e-07,-6.82117612802e-08,2.91516099956e-08
P,1e-09,-1.21181775936e-07,-7.87655541231e-08,3.13778808834e-08
P,1e-09,-1.28792791418e-07,-6.39997806875e-08,2.15481249797e-08
P,1e-09,-1.2952440215e-07,-6.26800326792e-08,3.5951552159e-08
P,1e-09,-1.24931263926e-07,-6.26533720769e-08,3.65239452476e-08
P,1e-09,-1.29253876745e-07,-6.41131107582e-08,3.81867603835e-08
P,1e-09,-1.21538804696e-07,-7.01311612277e-08,3.6699869426e-08
P,1e-09,-1.28380772462e-07,-6.61884011623e-08,3.74120815441e-08
P,1e-09,-5.30553404472e-08,5.99706702502e-08,-1.18469145765e-07
P,1e-09,-4.32144502673e-08,5.5743105797e-08,-1.09992302152e-07
P,1e-09,-4.97043390163e-08,5.44897925676e-08,-1.15369056593e-07
P,1e-09,-4.46562672561e-08,5.85761666407e-08,-1.09836447732e-07
P,1e-09,-5.13906370673e-08,4.59846469919e-08,-1.11229860149e-07
P,1e-09,-4.24080164426e-08,5.45279460077e-08,-1.12246599787e-07
P,1e-09,-4.15666679279e-08,5.68415699604e-08,-1.02164053465e-07
P,1e-09,-5.93637950454e-08,4.34110110399e-08,-1.10349640274e-07
P,1e-09,-4.92276835509e-08,4.47129791974e-08,-1.15664616182e-07
P,1e-09,-4.0603785685e-08,5.59314128863e-08,-1.11613085409e-07
P,1e-09,-5.39260688193e-08,4.19586975255e-08,-1.0820790545e-07
P,1e-09,-5.00128697203e-08,5.75944846521e-08,-1.05656780123e-07
P,1e-09,-5.12664822783e-08,5.54932697422e-08,-1.00720476903e-07
P,1e-09,-4.0468703955e-08,4.6025574215e-08,-1.05256743607e-07
P,1e-09,-4.72893743747e-08,4.38222796277e-08,-1.05002615487e-07
